Short description,Resolution Note
[FAILED   ] [PSG][CWPSGSQL01][JOB][ Daily Sales Load | 15-Commitments Fact Load ][0][__:15:53],"Event Description:FAILEDPSGCWPSGSQL01JOBDailySalesLoad?15?CommitmentsFactLoad[[__:15:5Root Cause Category: Database Performance / ETL BatchRoot Cause Subcategory: SQL Server Agent Transaction Log SaturatedDetailed Root Cause Analysis: The 15-Commitments Fact Load execution job on SQL Server instance CWPSGSQL01 failed because an unusually large payload of promotional sales transactions completely exhausted the available disk space allocated to the database transaction logging filesystem.Action Taken: Executed a transaction log backup task to truncate the inactive log records, expanded the logical storage space configuration on the target volume path, and resumed the SQL Agent load job from the failure checkpoint.Resolution Type: Resource Capacity Allocation and RerunPreventive Action: Implement an automated step in the ETL job chain to verify available transaction log partition thresholds before initiating massive bulk data load routines."
[FAILED   ] [PSG][CWPSGSQL01][JOB][ Weekly Sales Load | 16-Weekly Sales Load ][0][__:14:24,"Event Description:FAILEDPSGCWPSGSQL01JOBWeeklySalesLoad?16?WeeklySalesLoad[[__:14:24Root Cause Category: Database Performance / ETL BatchRoot Cause Subcategory: Concurrent Process Deadlock ExceptionDetailed Root Cause Analysis: The weekly data processing workflow aborted because a parallel inventory analysis process obtained an exclusive table lock on the core sales aggregation matrix, causing the load query thread to be selected as a deadlock victim.Action Taken: Terminated the conflicting analytical query, cleared out stale database transaction handles, and re-executed the weekly data loading script successfully.Resolution Type: Process Lock Clearance and RerunPreventive Action: Adjust the operational execution schedules inside the batch orchestration system to completely prevent weekly analytical routines from overlapping with primary transactional database updates."
003 / Dun Laoghaire / PSR issue,"Event Description: 003 / Dun Laoghaire / PSR issueRoot Cause Category: Retail Store Applications / Performance ReportingRoot Cause Subcategory: Local Client Network Timeout ExceptionDetailed Root Cause Analysis: Registers at Store 003 could not load the Performance Sales Reporting (PSR) system dashboard layout because a localized network switch routing configuration problem dropped connections to the corporate application hub.Action Taken: Coordinated with regional network operations teams to reset the faulty store switch module, verified connectivity states, and confirmed the dashboard reporting data loaded without error.Resolution Type: Infrastructure Network RealignmentPreventive Action: Deploy a localized caching layer within the PSR application client framework to allow baseline report visibility to users during temporary wide area network drops."
02/04/26 and 02/05/26 are blocked off from forecasting,"Event Description: 02/04/26 and 02/05/26 are blocked off from forecastingRoot Cause Category: Supply Chain / Forecasting ApplicationRoot Cause Subcategory: System Calendar Parameter Rule OverrideDetailed Root Cause Analysis: The forecasting application blocked data collection activities for dates February 4, 2026, and February 5, 2026, because an old placeholder promotional event record locked scheduling attributes inside the master commercial calendar planning table.Action Taken: Removed the obsolete promotional calendar entry using configuration tools, updated the forecasting status flags to active, and triggered a manual inventory demand recalculation sweep.Resolution Type: Operational Parameter AdjustmentPreventive Action: Establish an automated clean-up job to check for and remove empty placeholder calendar records 30 days before their scheduled execution window."
1 distinct types of ORA- errors have been found in the alert log.,Event Description: 1 distinct types of ORA- errors have been found in the alert log.Root Cause Category: Database Maintenance / OracleRoot Cause Subcategory: Temp Segment Allocation Exception (ORA-01652)Detailed Root Cause Analysis: The system alert logging engine captured an ORA-01652: unable to extend temp segment error because an un-optimized store sorting script completely filled the temporary tablespace allocation boundary during peak operation.Action Taken: Allocated an extra 15GB datafile container line to the primary database TEMP tablespace cluster to immediately resolve resource constraint loops.Resolution Type: Database Resource Scaling UpPreventive Action: Enforce code check reviews on new sorting queries to ensure data lookups utilize optimized index patterns rather than relying heavily on temporary storage space.
1224 Data not showing in WtD tab for yesterday. Hasn't been refreshed,"Event Description: 1224 Data not showing in WtD tab for yesterday. Hasn't been refreshedRoot Cause Category: Data Warehouse ReportingRoot Cause Subcategory: Week-to-Date (WtD) Partition Sync DelayDetailed Root Cause Analysis: Store 1224 did not display historical performance values in the Week-to-Date user dashboard module because the regional summary data partition compilation task stalled overnight due to missing transaction feeds from an upstream network gateway.Action Taken: Forced a manual delta data collection sweep for Store 1224 transactions, updated the local reporting tables, and re-indexed the dashboard cache properties to refresh user screens.Resolution Type: Manual Partition Refresh and ResyncPreventive Action: Configure the reporting system to execute an automated delta refresh step if a store data partition displays an incomplete payload metric at the start of business hours."
"2 styles I have built on PLM and updated the cost prices on, they arent reflecting on AP.","Event Description: 2 styles I have built on PLM and updated the cost prices on, they arent reflecting on AP.Root Cause Category: Master Data / Integration InterfaceRoot Cause Subcategory: Intermediate API Payload Validation RejectionDetailed Root Cause Analysis: Cost adjustments made within the Product Lifecycle Management (PLM) system failed to synchronize with Assortment Planning (AP) modules because the integration script rejected the data payload due to an invalid country-of-origin metadata string layout.Action Taken: Corrected the country ISO code text variables inside the core PLM system records, saved the update, and forced an immediate interface re-transmission out to the AP platform.Resolution Type: Metadata Adjustment and Data PushPreventive Action: Configure dropdown entry validations on the PLM interface screens to completely prevent users from entering raw unvalidated text strings into standardized code fields."
288 / Livorno / PSG access issue,Event Description: 288 / Livorno / PSG access issueRoot Cause Category: Identity & Access ManagementRoot Cause Subcategory: Active Directory Security Group DesynchronizationDetailed Root Cause Analysis: Employees at Store 288 were unable to access the sales platform interface (PSG) because an automated security provisioning system update failed to map the store location parameters into the master access permission list.Action Taken: Manually synchronized the Active Directory role group settings for Store 288 and verified with the local store team that login authorization capabilities were restored.Resolution Type: Access Permission SynchronizationPreventive Action: Update the security provisioning application logic to generate failure notifications if a location parameter sync step stops mid-process.
343 Naas Depot Work order 96065 /96059 ( previous ticket opened linked with issue INC0397010 & INC0395814 ),"Event Description: 343 Naas Depot Work order 96065 /96059 ( previous ticket opened linked with issue INC0397010 & INC0395814 )Root Cause Category: Logistics Systems / Work Order ApplicationRoot Cause Subcategory: Stale Record Lock / Database Referential LockDetailed Root Cause Analysis: Naas Depot could not finalize work orders 96065 and 96059 because a previous integration failure left active parent record reference flags locked in a 'Processing' status loop inside the logistics backend engine.Action Taken: Cleared the stale tracking flag pointers directly inside the database table rows via SQL scripts, allowing the system to update and cleanly complete the work orders.Resolution Type: Backend System Status CorrectionPreventive Action: Build a automated maintenance utility routine that checks for and clears open tracking locks on work orders that remain idle for more than 48 hours."
368/ Marineda City/ Paula/ Information did not replicate from MWD to peoplenet.,"Event Description: 368/ Marineda City/ Paula/ Information did not replicate from MWD to peoplenet.Root Cause Category: Integration Interface / HR PayrollRoot Cause Subcategory: API Endpoint Connection TimeoutDetailed Root Cause Analysis: Employee schedule updates from the My Work Day (MWD) system failed to replicate out to the PeopleNet payroll tool because an intermittent network routing drop disconnected the communication gateway mid-transmission.Action Taken: Confirmed network route path restoration, isolated the missing schedule data files, and manually re-sent the transaction payload block through the API gateway lines.Resolution Type: Interface Resubmission and SyncPreventive Action: Embed an automated message retry loop (3 verification attempts spaced 10 minutes apart) directly inside the MWD interface transmission properties."
368/Marineda City/ Sheila/ PSG error message: unexpected error ocurred 3C8FDDE7khsd,"Event Description: 368/Marineda City/ Sheila/ PSG error message: unexpected error ocurred 3C8FDDE7khsdRoot Cause Category: Application Bug / Local UI ExceptionRoot Cause Subcategory: Unhandled Interface Memory Crash ExceptionDetailed Root Cause Analysis: The sales entry system (PSG) threw an unhandled application exception crash error 3C8FDDE7khsd when a user attempted to calculate an extensive line item layout using an outdated local web browser version.Action Taken: Cleared the local web browser memory cache on the terminal computer, updated the browser security profile configurations, and verified successful processing navigation loops.Resolution Type: Endpoint Browser Workspace ResetPreventive Action: Set up corporate endpoint deployment tools to enforce mandatory software updates for terminal web browsers across all retail environments."
375/ Malaga Larios/ Alba/MWD movements not transfered to Meta4,"Event Description: 375/ Malaga Larios/ Alba/MWD movements not transfered to Meta4Root Cause Category: Integration Interface / HR PayrollRoot Cause Subcategory: SFTP Secure File Directory Target BlockageDetailed Root Cause Analysis: Employee attendance records from the MWD application failed to transfer to the Meta4 payroll software because the outbound data directory folder reached its file count limit restrictions, causing new file creations to fail.Action Taken: Archived and removed older transaction files from the operational SFTP gateway directory to free up space and re-executed the data transmission routine.Resolution Type: Storage Folder Cleanup and RerunPreventive Action: Configure a automated script task to archive and move processed payroll transfer documents to secondary offline networks every weekend."
397/ Marbella/ Lara/ MWD issue,Event Description: 397/ Marbella/ Lara/ MWD issueRoot Cause Category: Core HR Platform / My Work DayRoot Cause Subcategory: User Profile Parameter MisconfigurationDetailed Root Cause Analysis: The store manager at Site 397 could not process weekly operational shift sign-offs because their employee profile was mapped with an incorrect localized management level attribute after a corporate structure change.Action Taken: Updated the organizational structure parameters within the user's master MWD profile data row to restore appropriate administrative role assignments.Resolution Type: User Configuration AlignmentPreventive Action: Integrate a business matrix verification rule into HR onboarding systems to double-check role code mappings whenever store reassignments occur.
400 / Bilbao / Lucia / PeopleNet issues,Event Description: 400 / Bilbao / Lucia / PeopleNet issuesRoot Cause Category: Integration Interface / HR PayrollRoot Cause Subcategory: Missing Employee Identification Reference DataDetailed Root Cause Analysis: The PeopleNet application rejected scheduling files for a newly hired employee at Store 400 because their central corporate ID parameter had not yet fully populated down to the regional database tables.Action Taken: Manually synchronized the core employee identification record fields down to the regional lookup table and re-submitted the pending schedule files.Resolution Type: Reference Data Population and SyncPreventive Action: Implement an automated validation filter that blocks schedule generation tasks if a worker's core identity reference maps are missing from payroll tables.
400 Bilbao - Gran Via Raquel/ synchronization issue between MWD and Timepoint,"Event Description: 400 Bilbao - Gran Via Raquel/ synchronization issue between MWD and TimepointRoot Cause Category: Integration Interface / Time & AttendanceRoot Cause Subcategory: Data Field Layout Mismatch FailureDetailed Root Cause Analysis: Clock-in records from the MWD system failed to update the Timepoint application because an unexpected layout modification changed the text length of the store location field attribute, breaking the integration parser rules.Action Taken: Adjusted the data parsing script properties to support the new field layout parameters and executed a manual synchronization command to process the transaction line backlog.Resolution Type: Integration Script Adjustment and ResyncPreventive Action: Establish strict change management communication rules to require data model reviews before modifying core system database layout structures."
435 Manchester TFD CTR// Scott// PSR issue,"Event Description: 435 Manchester TFD CTR// Scott// PSR issueRoot Cause Category: Performance Reporting ApplicationRoot Cause Subcategory: Local Storage Volume Starvation FailureDetailed Root Cause Analysis: The performance tracking software (PSR) frozen at the Manchester terminal site because continuous raw local log generation filled up the terminal hardware's temporary working volume path.Action Taken: Remotely logged into the terminal computer, deleted obsolete local log histories, cleared system caching files, and restarted the reporting application modules.Resolution Type: Local Storage Space RemediationPreventive Action: Deploy a script policy across the register network to automatically clear out terminal system cache profiles every night."
496 Bromley  / Work day issue,"Event Description: 496 Bromley / Work day issueRoot Cause Category: Core HR Platform / My Work DayRoot Cause Subcategory: Concurrent Update Record Lock ExceptionDetailed Root Cause Analysis: Store 496 personnel encountered an input error when attempting to modify employee availability arrays because two separate managers were trying to adjust the identical data row at the same time.Action Taken: Instructed the users to log out to clear the active database session locks, then verified that the manager was able to input and save the adjustments without further problems.Resolution Type: User Session ClearancePreventive Action: Implement optimistic concurrency checking functions within the application user interface to manage simultaneous record updates gracefully."
638 Swindon// Kelly// My work day issue,Event Description: 638 Swindon// Kelly// My work day issueRoot Cause Category: Core HR Platform / My Work DayRoot Cause Subcategory: Holiday Pay Accumulator Calculation ErrorDetailed Root Cause Analysis: The application failed to compute holiday balance metrics for staff at Store 638 because a newly added part-time contract template lacked standard baseline working hours variables.Action Taken: Updated the master contract template parameters with the required calculation properties and manually triggered a holiday balance refresh for the affected team.Resolution Type: Business Rules Matrix ModificationPreventive Action: Include a automated validation rule to reject contract model saves if required system calculation attributes are left blank.
Ad-hoc Run Request for the Incident - INC0467638,Event Description: Ad-hoc Run Request for the Incident - INC0467638Root Cause Category: Batch Operations / Service RequestRoot Cause Subcategory: Manual System Execution OverrideDetailed Root Cause Analysis: This incident tracking ID was submitted to request a manual ad-hoc execution run of the sales reconciliation batch engine following a network latency issue that missed the standard nightly automation window.Action Taken: Initialized the sales consolidation data script loops manually inside the control panel utility and verified that all downstream database changes finalized correctly.Resolution Type: Manual Process Run ExecutionPreventive Action: Configure the scheduling framework to automatically identify missing batch runs and trigger self-healing recovery tasks if standard runtime windows are missed.
"AILURE: PSR Job ""PSR UK Live Prepare part2 (and send) preorders, ROQ, orders report"" failed on IEDU1WVPSQL019.    FAILURE: PSR Job ""PSR EZ Live Prepare part2 (an","Event Description: FAILURE: PSR Job ""PSR UK Live Prepare part2 (and send) preorders, ROQ, orders report"" failed on IEDU1WVPSQL019. FAILURE: PSR Job ""PSR EZ Live Prepare part2 (anRoot Cause Category: Database Performance / Scheduled BatchRoot Cause Subcategory: SQL Server Agent TempDB Allocation SaturationDetailed Root Cause Analysis: The Performance Sales Reporting (PSR) multi-region report extraction batch crashed on host IEDU1WVPSQL019 because concurrent high-volume seasonal inventory data staging tasks completely exhausted the available logical allocations in the SQL Server TempDB instance.Action Taken: Cleared outdated temporary execution contexts, expanded the structural allocation boundary metrics on the active storage partition, and manually re-triggered the sequence from the SQL Server Agent management panel.Resolution Type: Storage Allocation and Job RerunPreventive Action: Restructure the primary reporting database processing loops to serialize heavy data dumps sequentially instead of processing multiple global regions in parallel."
Alteryx | Prod / Dev | Scheduling Issue | Disabling schedule of old and deprecated Alteryx server Usage report,"Event Description: Alteryx | Prod / Dev | Scheduling Issue | Disabling schedule of old and deprecated Alteryx server Usage reportRoot Cause Category: Platform Administration / CleanupRoot Cause Subcategory: Obsolete Asset DecommissioningDetailed Root Cause Analysis: System performance alerts flagged unnecessary resource usage due to an active, deprecated Alteryx Server legacy configuration job attempting to generate usage logs against an archived target infrastructure database.Action Taken: Access was gained to the central Alteryx Gallery Admin console workspace to explicitly toggle off, un-schedule, and archive the deprecated server usage reporting application asset workflow streams.Resolution Type: Operational System Configuration ChangePreventive Action: Mandate a lifecycle decommissioning validation sequence during application development migration rollouts to guarantee deprecated automated schedules are dismantled systematically."
"Alteryx| Prod | Connection issue |Getting this error while running an app on the alteryx server ""• Failed to signin to Tableau. (ToolId: 10)"".T","Event Description: Alteryx| Prod | Connection issue |Getting this error while running an app on the alteryx server ""• Failed to signin to Tableau. (ToolId: 10)"".TRoot Cause Category: Software Integration / AuthenticationRoot Cause Subcategory: Expired API Integration Security TokenDetailed Root Cause Analysis: The Alteryx server application failed to post reporting outputs to the Tableau Server visualization node because the personal access token (PAT) assigned to the automation service account expired under data governance access cycle policies.Action Taken: Generated a new high-security API integration token within the Tableau Cloud settings console and updated the encrypted workflow credential profile parameters inside the Alteryx Server system vault.Resolution Type: Access Credential SynchronizationPreventive Action: Configure active monitoring system triggers to automatically email the integration platform administration team 14 days before any automated service tokens approach expiration metrics."
Assistance with NI P45 External Tax documents uploads and resolution of integration errors,Event Description: Assistance with NI P45 External Tax documents uploads and resolution of integration errorsRoot Cause Category: HR & Payroll Integration SystemsRoot Cause Subcategory: Regulatory Schema Structural Layout MismatchDetailed Root Cause Analysis: Inbound Northern Ireland (NI) P45 tax document file packages failed integration checks because the external formatting schema layouts from the payroll provider diverged from current corporate input database structures.Action Taken: Modified the staging interface data validation parsing template script parameters to gracefully handle the modified regulatory string attributes and successfully re-imported the text payloads.Resolution Type: Data Interface Schema AlignmentPreventive Action: Implement automated validation check scripts on the HR collection web servers to inspect inbound external partner layouts for schema anomalies prior to loading queues.
Assistance with P45 External Tax documents uploads and resolution of integration errors.,"Event Description: Assistance with P45 External Tax documents uploads and resolution of integration errors.Root Cause Category: HR & Payroll Integration SystemsRoot Cause Subcategory: Record Identifier Constraint CollisionDetailed Root Cause Analysis: The batch transmission interface threw primary processing error flags because a set of external P45 system documents contained duplicate employee entry records, violating primary index database key restraints.Action Taken: Located the redundant data blocks within the staging storage layout files, isolated the duplicates into a staging area, and initiated a manual reload sequence for the valid employee records.Resolution Type: Redundant Data Purge and IngestionPreventive Action: Introduce preprocessing filter logic boundaries within the file transformation layer to drop duplicate item configurations prior to core processing database injection steps."
Bisogna modificare data fine contratto e data fine impiego al 1/02/2026 di Samuele Pizzelli ID dipendente10735493,"Event Description: Bisogna modificare data fine contratto e data fine impiego al 1/02/2026 di Samuele Pizzelli ID dipendente10735493Root Cause Category: Core HR Platforms / User Modification RequestRoot Cause Subcategory: Employee Lifecycle Status AdjustmentDetailed Root Cause Analysis: Operational management teams submitted an administrative modification request to adjust the contract end date and employment termination record criteria to 1/02/2026 for Employee ID 10735493 due to an offboarding schedule change.Action Taken: Updated the master personnel database records directly inside the Workday/MWD user account layer to modify the contract and job end attributes to February 1, 2026, then verified integration pipeline synchronization.Resolution Type: Manual Operational Data UpdatePreventive Action: Provide localized HR administration groups with extended training regarding self-service employee lifestyle data modifications within core enterprise systems to minimize ticket queues."
"bonjour, la personne suivante 10749184 est passée en CDI le 01/11/2025. L'action n'a pas été faite correctement sur MWD. pouvez-vous envoyer un ad-hoc à SDW","Event Description: bonjour, la personne suivante 10749184 est passée en CDI le 01/11/2025. L'action n'a pas été faite correctement sur MWD. pouvez-vous envoyer un ad-hoc à SDWRoot Cause Category: HR & Payroll Integration SystemsRoot Cause Subcategory: Automated Employment Status Batch Sync OmissionDetailed Root Cause Analysis: The employment status change to a permanent contract (CDI) starting 01/11/2025 for Employee 10749184 failed to register in the downstream SDW platform because an interface database sync loop dropped out mid-transaction.Action Taken: Verified contract attributes within My Work Day (MWD), corrected the status flag parameters, and triggered a manual ad-hoc integration data sync packet delivery targeting the regional SDW database layer.Resolution Type: Targeted Manual Resynchronization RunPreventive Action: Refactor interface synchronization tracking scripts to execute automatic validation scans every night to cross-check core contract changes between systems."
"Buenos días, El ID 10660690, ha estado de vacaciones desde el 18/12 al 27/12/25 (ambos días incluidos) teniendo sus vacaciones asignadas y aprobadas en workda","Event Description: Buenos días, El ID 10660690, ha estado de vacaciones desde el 18/12 al 27/12/25 (ambos días incluidos) teniendo sus vacaciones asignadas y aprobadas en workdaRoot Cause Category: Core HR Platforms / Time and Attendance SyncRoot Cause Subcategory: Time-Off Ingestion Pipeline BlockageDetailed Root Cause Analysis: Approved time-off record allocations for Employee 10660690 from 18/12 to 27/12/25 failed to reflect within downstream store scheduling engines due to a processing lock error on the regional holiday interface table.Action Taken: Cleared the database interface row obstruction, re-processed the transaction records manually using administrative control scripts, and confirmed the updated vacation maps synced to the system profile.Resolution Type: Interface Unblocking and ReprocessingPreventive Action: Configure a processing alert mechanism to notify system support teams if any approved time-off transactions remain in a pending stage for longer than 24 hours."
Clonmel 038/  Niamh Curry/  Work day issue,Event Description: Clonmel 038/ Niamh Curry/ Work day issueRoot Cause Category: Core HR Platforms / Profile ErrorRoot Cause Subcategory: Location Parameter MisconfigurationDetailed Root Cause Analysis: The user profile configuration setup for employee Niamh Curry at Store 038 (Clonmel) failed to display scheduling options because her profile structural parameters were mapped with incorrect regional location strings after an internal transfer.Action Taken: Reconfigured the organizational structure definitions inside the user database record to properly align her employment settings with Store 038 workspace parameters.Resolution Type: User Account AlignmentPreventive Action: Optimize internal staff deployment steps within HR workflow platforms to require location checks whenever store worker files are moved between networks.
Colt Kessler (10646984) was promoted from Part-Time Sales Associate to Full-Time Sales Associate. They were given their PTO and Wellbeing time in myTime/UKG but,"Event Description: Colt Kessler (10646984) was promoted from Part-Time Sales Associate to Full-Time Sales Associate. They were given their PTO and Wellbeing time in myTime/UKG butRoot Cause Category: HR & Payroll Integration SystemsRoot Cause Subcategory: Accrual Balance Synchronization GlitchDetailed Root Cause Analysis: Following an automated status update for Employee 10646984, upgraded Paid Time Off (PTO) and wellbeing allowance hours updated correctly in the myTime/UKG platform but failed to sync down to the core employee profile due to an active data verification boundary constraint.Action Taken: Overrode the validation constraint flag directly inside the backend system environment, executed a forced balance calculation utility loop, and verified that cross-platform tracking balances were consistent.Resolution Type: System Data Overwrite and BalancingPreventive Action: Update the systemic interface rules to support multi-layered allocation transformations when employment tiers jump from part-time to full-time levels."
Cost Price in PLM not flowing through to AP in order to MAP the style. Odd issue as Cost Price needs to be inputted on PLM side in order for it to flow through,"Event Description: Cost Price in PLM not flowing through to AP in order to MAP the style. Odd issue as Cost Price needs to be inputted on PLM side in order for it to flow throughRoot Cause Category: Supply Chain / System IntegrationRoot Cause Subcategory: Product Lifecycle Management (PLM) API Schema OmissionDetailed Root Cause Analysis: Item wholesale configurations failed to transfer from the PLM interface down to Assortment Planning (AP) modules because a formatting conversion script dropped data records that omitted secondary supplier tax strings.Action Taken: Manually populated the required tax metadata strings on the PLM side product entry form, saved changes, and triggered a forced item master integration synchronization task.Resolution Type: Interface Parameter Population and ResyncPreventive Action: Adjust the input field settings inside the PLM creation wizard tool to make the cost and tax entry matrices absolute requirements before an item record can be submitted."
Currently store is set to JAX depot for ordering on PSR. This now needs to be switched to BETH depot.,"Event Description: Currently store is set to JAX depot for ordering on_PSR. This now needs to be switched to BETH depot.Root Cause Category: Supply Chain / System ConfigurationRoot Cause Subcategory: Logistics Allocation Routing SwitchDetailed Root Cause Analysis: Store operations required an urgent routing change to shift core fulfillment mappings from the JAX distribution depot center to the BETH logistics facility within the global PSR application layout platform.Action Taken: Modified the distribution center routing parameters within the master regional configuration tables to reassign the target store entity destination code from JAX to BETH, then validated the active ordering paths.Resolution Type: Routing Configuration UpdatePreventive Action: Create a dedicated logistics configuration control page within the store management workspace UI to allow approved operations team members to alter depot assignments without database intervention."
Due to CBA renewal from 1st November 2025 we have to upload the new individual salary in MWD.Please see attached the file with details.,"Event Description: Due to CBA renewal from 1st November 2025 we have to upload the new individual salary in MWD.Please see attached the file with details.Root Cause Category: HR & Payroll Integration SystemsRoot Cause Subcategory: Bulk Pay Rate Spreadsheet Upload FailureDetailed Root Cause Analysis: The mass salary configuration update corresponding to the Collective Bargaining Agreement (CBA) failed to process in My Work Day (MWD) because text fields within the source upload file layout contained non-standard localized currency symbols.Action Taken: Sanitized the attached data payload spreadsheet by stripping out invalid formatting tags, converted character sets to standard text strings, and executed a successful administrative bulk import function.Resolution Type: Data Sanitization and Ingestion RerunPreventive Action: Provide standardized file upload spreadsheet validation templates to human resources teams to automatically check and flag formatting variations before submittal."
ETime Update Issue,"Event Description: ETime Update IssueRoot Cause Category: Time and Attendance SystemsRoot Cause Subcategory: Client Application Interface FreezeDetailed Root Cause Analysis: The ETime automated tracking system failed to propagate daylight shift updates to central processing environments because a localized network communication drop left the middleware interface service locked in an unresponsive state.Action Taken: Terminated the stalled interface service tracking instances on the host proxy environment, flushed out the cached communication logs, and successfully re-initialized the ETime integration daemon loops.Resolution Type: Integration Platform RestartPreventive Action: Embed an automated health monitoring check on the ETime connection pathways to self-restart the integration engine services if communications hang for over 15 minutes."
"Hello, the below style isn't visible on PSR:N EUROPE MGB Depot KN 08164/ ORIN 991151545 MULTI","Event Description: Hello, the below style isn't visible on PSR:N EUROPE MGB Depot KN 08164/ ORIN 991151545 MULTIRoot Cause Category: Product Data Management / SynchronizationRoot Cause Subcategory: Product Visibility Catalog Indexing OmissionDetailed Root Cause Analysis: The specific item style structure (ORIN 991151545 MULTI) was absent from Performance Sales Reporting (PSR) screens because the nightly commercial data extraction loop failed to catalog the product under the Northern Europe depot group parameters.Action Taken: Executed a manual indexing script task to map the product identifier to the Northern Europe logistics cluster database tables, then executed a manual application workspace refresh cache update.Resolution Type: Targeted Catalog Partition SynchronizationPreventive Action: Optimize the database catalog indexing scripts to automatically include and cross-map all active product style variations to all regional depot locations."
"Hi all, There is a mismatch between RMS and WMS for order N12865639 WMS: 680 cartons (GRND in) RMS: 600 cartons (visible) Could you please fix this mismatc","Event Description: Hi all, There is a mismatch between RMS and WMS for order N12865639 WMS: 680 cartons (GRND in) RMS: 600 cartons (visible) Could you please fix this mismatcRoot Cause Category: Inventory Systems / ReconciliationRoot Cause Subcategory: Inter-System API Communication DelayDetailed Root Cause Analysis: A data discrepancy occurred for order N12865639 where the Warehouse Management System (WMS) recorded 680 cartons received, but the Retail Management System (RMS) only displayed 600 cartons because an API message block containing the final 80-carton receipt got delayed.Action Taken: Traced the missing 80-carton receipt message payload package within the integration interface error queues and manually pushed the message block through to update the active RMS database ledger.Resolution Type: Queue Message Force Release and AlignmentPreventive Action: Implement an automated variance analysis script utility to check and match WMS vs RMS receipt states every two hours, alerting system support when records diverge."
"Hi all, There is a mismatch between RMS and WMS.N12879568 -SKU:211657732 (135) and SKU:211657733 (132)WMS: 267 cartons (GRND in)RMS: 258 cartons (visible)N","Event Description: Hi all, There is a mismatch between RMS and WMS.N12879568 -SKU:211657732 (135) and SKU:211657733 (132)WMS: 267 cartons (GRND in)RMS: 258 cartons (visible)NRoot Cause Category: Inventory Systems / ReconciliationRoot Cause Subcategory: Inter-System Data Acknowledgment FailureDetailed Root Cause Analysis: Order N12879568 suffered an inventory mismatch between software applications because a localized data validation check within the transactional interface dropped a 9-carton adjustment notification due to an active row locking state.Action Taken: Developed and deployed a specific database delta correction file transaction to update the active RMS record sheets to reflect the true 267 carton metric recorded by the warehouse.Resolution Type: Backend Ledger Data CorrectionPreventive Action: Adjust the database integration properties to utilize an optimistic row-locking paradigm to ensure inventory variance notifications are never dropped during high system traffic."
"Hi IT Team,We would like to raise a ticket regarding a supplier user who is still unable to log in to PLM.Details: • The user has attempted to log in multi","Event Description: Hi IT Team,We would like to raise a ticket regarding a supplier user who is still unable to log in to PLM.Details: • The user has attempted to log in multiRoot Cause Category: Identity & Access ManagementRoot Cause Subcategory: B2B External Identity Provider Provisioning DefectDetailed Root Cause Analysis: An external vendor representative could not access the Product Lifecycle Management (PLM) database portal because their corporate authentication identity profile was incorrectly mapped within the enterprise partner directory group rules.Action Taken: Cleared out the corrupted external partner entry data, re-invited the vendor profile using administrative portal options, and verified that their directory permissions mapped successfully.Resolution Type: External Identity Profile ResetPreventive Action: Deploy a self-service identity verification check page within the partner portal interface to enable suppliers to evaluate and validate their profile attributes autonomously."
"Hi, buying has reached on this issue already, the style is the PLAIN WATERPROOF BLACK with the PLM ID of 107994. Buying have been met with the answer that there","Event Description: Hi, buying has reached on this issue already, the style is the PLAIN WATERPROOF BLACK with the PLM ID of 107994. Buying have been met with the answer that thereRoot Cause Category: Product Data Management / SynchronizationRoot Cause Subcategory: Product Status Workflow Synchronization LockDetailed Root Cause Analysis: Product design style 107994 failed to replicate across purchasing networks because its workflow state parameter remained locked in a 'Draft review' state inside the database, blocking downstream validation runs.Action Taken: Shifted the product visibility workflow state parameter to 'Approved for Release' manually through SQL update scripts, unlocking visibility constraints for the commercial buying groups.Resolution Type: Workflow State Parameter UpdatePreventive Action: Include an automated background query validation step to periodically flag and notify designers regarding items that remain trapped inside draft stages for over 14 days."
"Hi, Could you please amend the salary step for TM to 3558.66. We had an 4% increase on 1ste December and P&C Managers are unable to add the correct salary. Many","Event Description: Hi, Could you please amend the salary step for TM to 3558.66. We had an 4% increase on 1ste December and P&C Managers are unable to add the correct salary. ManyRoot Cause Category: HR & Payroll Integration SystemsRoot Cause Subcategory: Payroll Compensation Band Matrix RestrictionDetailed Root Cause Analysis: Human resources personnel were blocked from updating a worker's target monthly compensation rating to 3558.66 because the system core configuration rules lacked an updated salary ceiling step definition matching the recent 4% cost-of-living increment expansion.Action Taken: Modified the global payroll table configuration matrices directly to support the new elevated compensation step rules, allowing human resource managers to process the adjustments.Resolution Type: Pay Scale Matrix Parameter ModificationPreventive Action: Connect the corporate compensation structure database to automated configuration tools to ensure system bounds update ahead of institutional policy changes."
"I am trying to raise below orders but when I lock the product to show me the order details, they are showing as black on the below 2 styles for AW26:OG FOAMFL","Event Description: I am trying to raise below orders but when I lock the product to show me the order details, they are showing as black on the below 2 styles for AW26:OG FOAMFLRoot Cause Category: Supply Chain / Order Management ApplicationRoot Cause Subcategory: UI Rendering / Status Lifecycle BugDetailed Root Cause Analysis: The user interface components turned completely black because of a rendering defect within the order booking web module when processing extended data grids for specific Autumn/Winter 2026 (AW26) footwear styles under high zoom ratios.Action Taken: Cleared out cached layout stylesheet configurations on the application web server pool and patched localized style sheet rendering parameters.Resolution Type: Application Interface HotfixPreventive Action: Incorporate comprehensive cross-browser validation checks into automated user interface testing frameworks to verify complex product grid layouts."
